WELL_NAME,GEOTECH_ACTION,START_DATE_FACT,END_DATE_FACT
7f19ddcfcd2d874f2cf0dc982fccd173de21e99e87488ffc4c06b9565713eea9,Из бурения,2020-10-03,2020-10-06
613f15a5a89a63c1f6e61ea5466461b46c8168e91c329345e4e1b0dff2bbb705,Из бурения,2020-07-01,2020-08-12
879329a0f238b019636f868a76bcbca2114b2b4135938f05efd60a12e6a79a2b,ИДН,2020-01-22,2020-01-28
a0cee26b395d55edbcc8ba5eb5f0c88d7b584ba2c5e318fc0e58bfbe83dd4d0b,Из бурения,2020-11-14,2020-12-13
56deb052231234f854d9258f05d17ed2ad8727e2d6e63a7b15ff6c4bb6867290,Из бурения,2020-11-17,2020-12-13
b694e479af091b82198c24a43195efbb9578a4f0e2e163f6e070b6deb53b4493,Из бурения,2020-05-26,2020-05-29
560d8cb5d467a3119d5583a7f1a668b38fad0546fd58a713fa7e04f85b6799e2,Из бурения,2020-05-16,2020-05-19
55d3f72fc6d0bb13e58ea47c4df6dac00d3128ab6082755e83927534d13c0b56,Из бурения,2020-05-19,2020-05-21
a6efec17d11876c1f91aa02ed176a162ffffccc8bbe79371fcd6e78e4939b25f,Из бурения,2020-10-25,2020-12-14
353a445a948ac015ab93b08fc6e508e717e3d212c779d062cd500c889ef46e95,Из бурения,2020-12-05,2020-12-08
623921b97001a3025cbd88a5cbb81013150e98fb9f8600a1d49139bacf926b48,Из бурения,2020-11-13,2020-11-16
62550fcf45b495ac91cb4fe533a9336e3d2912eb18d5b3004da7d0b8131dd95b,Из бурения,2020-05-27,2020-05-30
16171f382dd8e0a617bbae7549c5e3457ad2f57c93f03731d041f2d7434405a3,Из бурения,2020-07-01,2020-07-03
c2f3b8db6165a4d2fe7a4c409e09947810d5f976508f3a1ffd709c0ccbbedf7c,ИДН,2020-10-31,2020-11-05
c2f3b8db6165a4d2fe7a4c409e09947810d5f976508f3a1ffd709c0ccbbedf7c,Из бурения,2020-05-17,2020-05-20
14cb35367f86daac1e71e286a4bf308a867ad52df1863ff086bb2d77f0387f00,Из бурения,2020-10-16,2020-10-17
fcfcd95f07f6e5e189894b3778bbc79c81f6b06c2e19f7644c00a49161857aa0,Из бурения,2020-10-01,2020-10-03
ad1ab7a8444e602ee07b846632d2f425a9cba69b4302c294e27c186e6276b50a,Из бурения,2020-02-08,2020-02-11
625dca26d9bd9387cc17e1c5e1905105ab4e1171623d04a48f5ff7bd9ba589e0,ИДН,2020-02-27,2020-02-29
9875f4ee983949398e875f4f3a28774baaf362dd23edc165f2f5a5062f34571e,ИДН,2020-03-05,2020-03-07
9875f4ee983949398e875f4f3a28774baaf362dd23edc165f2f5a5062f34571e,Из бурения,2020-02-06,2020-02-16
94f2e6014d6be25e8d8d3e3ab710d0f599c4abe4c0495efb13a94d4e9cd5a440,Из бурения,2020-08-21,2020-08-31
fc6ba4b32bc4a8f30f1d7d1000170225c279271a08ea2217a5a4de78bd9bb146,Из бурения,2020-10-03,2020-10-06
1e099c01e422645dadbe4ed66e702915f77b7fee2a251fd1c32d764adff36ddb,Из бурения,2020-04-09,2020-04-12
253cb5d099e72b1fdc4cd290d5cd33cd5a2bb1fce158fbb8250166795e545a43,Из бурения,2020-03-04,2020-03-06
b6d41b17642bb785ae8977e2911b44b09e2b29ef25394e9fdbeb93f19f5dbf96,ИДН,2020-02-01,2020-02-04
8808d684e8b4da6e6c7faf124c9e7e25b06fb7f6396e874ce7564b3e388f6f51,ИДН,2020-01-25,2020-01-29
9fa742a2c942fbe0a4a7eea1de8bdaf1f434a7b54adc341a77a0e592ef726819,Из бурения,2020-03-22,2020-03-23
d5edcb270e5d38244c37571adcb1f61569e07b3a960a1824e310a0b2a38dfde2,Из бурения,2020-06-27,2020-06-30
44e05b6d091d932cb96e33109674e1d507c63e411362cb96ad0ae87ac8e63fd6,ИДН,2020-08-15,2020-08-16
44e05b6d091d932cb96e33109674e1d507c63e411362cb96ad0ae87ac8e63fd6,Из бурения,2020-04-08,2020-04-10
4703c6cefa8c48c5083a9291c40d98cf353aef281e9913d9d5f042a58c5cddcc,Из бурения,2020-10-01,2020-10-04
1aa2da401c1a11856b3bf751396dcc546f25e086bcb116b88b34cce62989dfc6,Из бурения,2020-08-06,2020-08-08
0b0643ee8bda9a815547207436ef9604659ab101edc58d6056bb86af9f2c00f1,Из бурения,2020-07-06,2020-07-08
